deity_tradition,corpus_id,slip_number,original_slip_label,poem_text,edition,edition_id,edition_date_period,source_locator,transcription_status,notes
觀音（living-tradition mapping）,guanyin,1,第001籤,天開地闢結良緣 日吉時良萬事全 若得此籤非小可 人行中正帝王宣,籤詩網（chance.org.tw）觀音一百籤（secondary transcription，comparison witness）,src-chance-org-tw,現代（網站版；未標年代）,http://www.chance.org.tw/籤詩集/觀音一百籤/籤詩網‧觀音一百籤__第001籤.htm,PROBABLE,chance.org.tw（籤詩網）secondary transcription，witness transcription confidence = PROBABLE（未對原圖逐字核對），保留作 comparison witness；production/reference edition = 艋舺龍山寺百首版，逐籤核對尚未完成（production migration = TRANSCRIPTION_PENDING）；待依艋舺版（薛皓文 2008 附錄二為 transcription evidence）逐籤核對後升 VERIFIED。
觀音（living-tradition mapping）,guanyin,2,第002籤,鯨魚未化守江湖 未許升騰離碧波 異日崢嶸身變態 從教一躍禹門過,籤詩網（chance.org.tw）觀音一百籤（secondary transcription，comparison witness）,src-chance-org-tw,現代（網站版；未標年代）,http://www.chance.org.tw/籤詩集/觀音一百籤/籤詩網‧觀音一百籤__第002籤.htm,PROBABLE,chance.org.tw（籤詩網）secondary transcription，witness transcription confidence = PROBABLE（未對原圖逐字核對），保留作 comparison witness；production/reference edition = 艋舺龍山寺百首版，逐籤核對尚未完成（production migration = TRANSCRIPTION_PENDING）；待依艋舺版（薛皓文 2008 附錄二為 transcription evidence）逐籤核對後升 VERIFIED。
觀音（living-tradition mapping）,guanyin,3,第003籤,衝風冒雨去還歸 役役勞身似燕兒 啣得泥來呈疊後 到頭疊壞復成泥,籤詩網（chance.org.tw）觀音一百籤（secondary transcription，comparison witness）,src-chance-org-tw,現代（網站版；未標年代）,http://www.chance.org.tw/籤詩集/觀音一百籤/籤詩網‧觀音一百籤__第003籤.htm,PROBABLE,chance.org.tw（籤詩網）secondary transcription，witness transcription confidence = PROBABLE（未對原圖逐字核對），保留作 comparison witness；production/reference edition = 艋舺龍山寺百首版，逐籤核對尚未完成（production migration = TRANSCRIPTION_PENDING）；待依艋舺版（薛皓文 2008 附錄二為 transcription evidence）逐籤核對後升 VERIFIED。
觀音（living-tradition mapping）,guanyin,4,第004籤,菱花鏡破復重圓 女再求夫男再婚 自此門閭重改換 更添福祿與兒孫,籤詩網（chance.org.tw）觀音一百籤（secondary transcription，comparison witness）,src-chance-org-tw,現代（網站版；未標年代）,http://www.chance.org.tw/籤詩集/觀音一百籤/籤詩網‧觀音一百籤__第004籤.htm,PROBABLE,chance.org.tw（籤詩網）secondary transcription，witness transcription confidence = PROBABLE（未對原圖逐字核對），保留作 comparison witness；production/reference edition = 艋舺龍山寺百首版，逐籤核對尚未完成（production migration = TRANSCRIPTION_PENDING）；待依艋舺版（薛皓文 2008 附錄二為 transcription evidence）逐籤核對後升 VERIFIED。
觀音（living-tradition mapping）,guanyin,5,第005籤,一鋤掘地要求泉 努力求之得最先 無意俄然遇知己 相逢攜手上青天,籤詩網（chance.org.tw）觀音一百籤（secondary transcription，comparison witness）,src-chance-org-tw,現代（網站版；未標年代）,http://www.chance.org.tw/籤詩集/觀音一百籤/籤詩網‧觀音一百籤__第005籤.htm,PROBABLE,chance.org.tw（籤詩網）secondary transcription，witness transcription confidence = PROBABLE（未對原圖逐字核對），保留作 comparison witness；production/reference edition = 艋舺龍山寺百首版，逐籤核對尚未完成（production migration = TRANSCRIPTION_PENDING）；待依艋舺版（薛皓文 2008 附錄二為 transcription evidence）逐籤核對後升 VERIFIED。
觀音（living-tradition mapping）,guanyin,6,第006籤,投身巖下飼於菟 須是還他大丈夫 捨己也應難再得 通行天下此人無,籤詩網（chance.org.tw）觀音一百籤（secondary transcription，comparison witness）,src-chance-org-tw,現代（網站版；未標年代）,http://www.chance.org.tw/籤詩集/觀音一百籤/籤詩網‧觀音一百籤__第006籤.htm,PROBABLE,chance.org.tw（籤詩網）secondary transcription，witness transcription confidence = PROBABLE（未對原圖逐字核對），保留作 comparison witness；production/reference edition = 艋舺龍山寺百首版，逐籤核對尚未完成（production migration = TRANSCRIPTION_PENDING）；待依艋舺版（薛皓文 2008 附錄二為 transcription evidence）逐籤核對後升 VERIFIED。
觀音（living-tradition mapping）,guanyin,7,第007籤,奔波役役重重險 帶水拖泥又渡山 更慮他方求別用 千山萬水未能還,籤詩網（chance.org.tw）觀音一百籤（secondary transcription，comparison witness）,src-chance-org-tw,現代（網站版；未標年代）,http://www.chance.org.tw/籤詩集/觀音一百籤/籤詩網‧觀音一百籤__第007籤.htm,PROBABLE,chance.org.tw（籤詩網）secondary transcription，witness transcription confidence = PROBABLE（未對原圖逐字核對），保留作 comparison witness；production/reference edition = 艋舺龍山寺百首版，逐籤核對尚未完成（production migration = TRANSCRIPTION_PENDING）；待依艋舺版（薛皓文 2008 附錄二為 transcription evidence）逐籤核對後升 VERIFIED。
觀音（living-tradition mapping）,guanyin,8,第008籤,歲寒松柏古栽培 雨雪風霜總不摧 異日必當成大用 功名作個棟樑材,籤詩網（chance.org.tw）觀音一百籤（secondary transcription，comparison witness）,src-chance-org-tw,現代（網站版；未標年代）,http://www.chance.org.tw/籤詩集/觀音一百籤/籤詩網‧觀音一百籤__第008籤.htm,PROBABLE,chance.org.tw（籤詩網）secondary transcription，witness transcription confidence = PROBABLE（未對原圖逐字核對），保留作 comparison witness；production/reference edition = 艋舺龍山寺百首版，逐籤核對尚未完成（production migration = TRANSCRIPTION_PENDING）；待依艋舺版（薛皓文 2008 附錄二為 transcription evidence）逐籤核對後升 VERIFIED。
觀音（living-tradition mapping）,guanyin,9,第009籤,勞君問我心中事 此意偏宜說向公 一片靈臺明似鏡 恰如明月正當空,籤詩網（chance.org.tw）觀音一百籤（secondary transcription，comparison witness）,src-chance-org-tw,現代（網站版；未標年代）,http://www.chance.org.tw/籤詩集/觀音一百籤/籤詩網‧觀音一百籤__第009籤.htm,PROBABLE,chance.org.tw（籤詩網）secondary transcription，witness transcription confidence = PROBABLE（未對原圖逐字核對），保留作 comparison witness；production/reference edition = 艋舺龍山寺百首版，逐籤核對尚未完成（production migration = TRANSCRIPTION_PENDING）；待依艋舺版（薛皓文 2008 附錄二為 transcription evidence）逐籤核對後升 VERIFIED。
觀音（living-tradition mapping）,guanyin,10,第010籤,櫝藏無價寶和珍 只管他鄉外處尋 好似將燈來&#35220;火 不如安靜莫勞心,籤詩網（chance.org.tw）觀音一百籤（secondary transcription，comparison witness）,src-chance-org-tw,現代（網站版；未標年代）,http://www.chance.org.tw/籤詩集/觀音一百籤/籤詩網‧觀音一百籤__第010籤.htm,PROBABLE,chance.org.tw（籤詩網）secondary transcription，witness transcription confidence = PROBABLE（未對原圖逐字核對），保留作 comparison witness；production/reference edition = 艋舺龍山寺百首版，逐籤核對尚未完成（production migration = TRANSCRIPTION_PENDING）；待依艋舺版（薛皓文 2008 附錄二為 transcription evidence）逐籤核對後升 VERIFIED。
