oracle_set,talisman_number,start_line,end_line,source_type,license_status,review_status
guandi_lingqian_100,001,2,49,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,002,50,90,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,003,91,136,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,004,137,177,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,005,178,221,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,006,222,265,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,007,266,313,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,008,314,356,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,009,357,400,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,010,401,446,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,011,447,483,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,012,484,527,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,013,528,565,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,014,566,605,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,015,606,646,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,016,647,690,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,017,691,744,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,018,745,789,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,019,790,827,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,020,828,860,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,021,861,893,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,022,894,942,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,023,943,1000,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,024,1001,1045,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,025,1046,1093,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,026,1094,1141,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,027,1142,1186,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,028,1187,1224,ai_generated_or_summarized,unsure,quarantine_do_not_import
