deity_tradition,corpus_id,slip_number,original_slip_label,poem_text,edition,edition_id,edition_date_period,source_locator,transcription_status,notes
關帝（living-tradition mapping）,guandi,1,第一,巍巍獨步向雲間，玉殿千官第一班。；冨貴榮華天付汝，福如東海壽如山。,《護國嘉濟江東王靈籤》（傅燁撰，道藏本）,ed-guandi-daozang-fuye-1225,南宋寶慶 1225–1227（傅燁撰）；《正統道藏》1445 收錄（正一部）,https://zh.wikisource.org/wiki/護國嘉濟江東王靈籤/1 （維基文庫轉錄，2026-08-15/17 一手抓取）；道藏影像：ctext res=84978（正一部 1012–1013 冊）待核,PROBABLE,
關帝（living-tradition mapping）,guandi,2,第二,盈虛消息總天時，自此君當百事宜。；若問前程歸縮地，更須方寸好修為。,《護國嘉濟江東王靈籤》（傅燁撰，道藏本）,ed-guandi-daozang-fuye-1225,南宋寶慶 1225–1227（傅燁撰）；《正統道藏》1445 收錄（正一部）,https://zh.wikisource.org/wiki/護國嘉濟江東王靈籤/2 （維基文庫轉錄，2026-08-15/17 一手抓取）；道藏影像：ctext res=84978（正一部 1012–1013 冊）待核,PROBABLE,
關帝（living-tradition mapping）,guandi,3,第三,衣食自然生處有，勸君不用苦勞心。；但能孝悌兼忠信，福祿來成禍不侵。,《護國嘉濟江東王靈籤》（傅燁撰，道藏本）,ed-guandi-daozang-fuye-1225,南宋寶慶 1225–1227（傅燁撰）；《正統道藏》1445 收錄（正一部）,https://zh.wikisource.org/wiki/護國嘉濟江東王靈籤/3 （維基文庫轉錄，2026-08-15/17 一手抓取）；道藏影像：ctext res=84978（正一部 1012–1013 冊）待核,PROBABLE,
關帝（living-tradition mapping）,guandi,4,第四,去年百事頗相宜，若較今年時漸衰。；好把瓣香告神彿，莫教福謝悔無追。,《護國嘉濟江東王靈籤》（傅燁撰，道藏本）,ed-guandi-daozang-fuye-1225,南宋寶慶 1225–1227（傅燁撰）；《正統道藏》1445 收錄（正一部）,https://zh.wikisource.org/wiki/護國嘉濟江東王靈籤/4 （維基文庫轉錄，2026-08-15/17 一手抓取）；道藏影像：ctext res=84978（正一部 1012–1013 冊）待核,PROBABLE,
關帝（living-tradition mapping）,guandi,5,第五,子有三般不自由，門庭蕭索冷如秋。；若逢牛鼠交承巳，萬事迴春不用憂。,《護國嘉濟江東王靈籤》（傅燁撰，道藏本）,ed-guandi-daozang-fuye-1225,南宋寶慶 1225–1227（傅燁撰）；《正統道藏》1445 收錄（正一部）,https://zh.wikisource.org/wiki/護國嘉濟江東王靈籤/5 （維基文庫轉錄，2026-08-15/17 一手抓取）；道藏影像：ctext res=84978（正一部 1012–1013 冊）待核,PROBABLE,
關帝（living-tradition mapping）,guandi,6,第六,何勞鼓瑟更吹笙，寸步如登萬里程。；彼此懷疑不相信，休將私意托濃情。,《護國嘉濟江東王靈籤》（傅燁撰，道藏本）,ed-guandi-daozang-fuye-1225,南宋寶慶 1225–1227（傅燁撰）；《正統道藏》1445 收錄（正一部）,https://zh.wikisource.org/wiki/護國嘉濟江東王靈籤/6 （維基文庫轉錄，2026-08-15/17 一手抓取）；道藏影像：ctext res=84978（正一部 1012–1013 冊）待核,PROBABLE,
關帝（living-tradition mapping）,guandi,7,第七,仙風道骨本天成，又遇仙宗為主盟。；指日丹成謝巖谷，一朝引領向天行。,《護國嘉濟江東王靈籤》（傅燁撰，道藏本）,ed-guandi-daozang-fuye-1225,南宋寶慶 1225–1227（傅燁撰）；《正統道藏》1445 收錄（正一部）,https://zh.wikisource.org/wiki/護國嘉濟江東王靈籤/7 （維基文庫轉錄，2026-08-15/17 一手抓取）；道藏影像：ctext res=84978（正一部 1012–1013 冊）待核,PROBABLE,
關帝（living-tradition mapping）,guandi,8,第八,年來耕稼苦無收，今歲田疇定有秋。；況遇太平無事日，士農工賈百無憂。,《護國嘉濟江東王靈籤》（傅燁撰，道藏本）,ed-guandi-daozang-fuye-1225,南宋寶慶 1225–1227（傅燁撰）；《正統道藏》1445 收錄（正一部）,https://zh.wikisource.org/wiki/護國嘉濟江東王靈籤/8 （維基文庫轉錄，2026-08-15/17 一手抓取）；道藏影像：ctext res=84978（正一部 1012–1013 冊）待核,PROBABLE,
關帝（living-tradition mapping）,guandi,9,第九,望渠消息向長安，常把菱花仔細看。；見說文書將入境，今朝喜色上眉端。,《護國嘉濟江東王靈籤》（傅燁撰，道藏本）,ed-guandi-daozang-fuye-1225,南宋寶慶 1225–1227（傅燁撰）；《正統道藏》1445 收錄（正一部）,https://zh.wikisource.org/wiki/護國嘉濟江東王靈籤/9 （維基文庫轉錄，2026-08-15/17 一手抓取）；道藏影像：ctext res=84978（正一部 1012–1013 冊）待核,PROBABLE,
關帝（living-tradition mapping）,guandi,10,第十,病患時時命蹇衰，何須打瓦更鑽龜。；直教重見一陽復，始可求安仗佛持。,《護國嘉濟江東王靈籤》（傅燁撰，道藏本）,ed-guandi-daozang-fuye-1225,南宋寶慶 1225–1227（傅燁撰）；《正統道藏》1445 收錄（正一部）,https://zh.wikisource.org/wiki/護國嘉濟江東王靈籤/10 （維基文庫轉錄，2026-08-15/17 一手抓取）；道藏影像：ctext res=84978（正一部 1012–1013 冊）待核,PROBABLE,
