deity_tradition,corpus_id,slip_number,original_slip_label,poem_text,edition,edition_id,edition_date_period,source_locator,transcription_status,notes
媽祖（北港朝天宮，living-tradition mapping）,liushijiazi,1,甲子,日出便見風雲散；光明清靜照世間；一向前途通大道；萬事清吉保平安,北港朝天宮官方六十甲子籤（modern reference edition）,ref-lsjz-001,現代（官方網站版；reference edition 由 Study 03 comparison 建立）,https://www.matsu.org.tw/?act=menuinfo&ml_id=20240116002&cmd=list （北港官方籤詩列表）；attestation: att-bg-001,PROBABLE,沿用 corpus package authenticity（58 PROBABLE / 2 VERIFIED）；historical baseline 維持 0/60（古本文字未取得，不因身分證升級）
媽祖（北港朝天宮，living-tradition mapping）,liushijiazi,2,甲寅,於今此景正當時；看看欲吐百花魁；若能遇得春色到；一洒清吉脫塵埃,北港朝天宮官方六十甲子籤（modern reference edition）,ref-lsjz-002,現代（官方網站版；reference edition 由 Study 03 comparison 建立）,https://www.matsu.org.tw/?act=menuinfo&ml_id=20240116002&cmd=list （北港官方籤詩列表）；attestation: att-bg-002,PROBABLE,沿用 corpus package authenticity（58 PROBABLE / 2 VERIFIED）；historical baseline 維持 0/60（古本文字未取得，不因身分證升級）
媽祖（北港朝天宮，living-tradition mapping）,liushijiazi,3,甲辰,勸君把定心莫虛；天註衣祿自有餘；和合重重常吉慶；時來終遇得明珠,北港朝天宮官方六十甲子籤（modern reference edition）,ref-lsjz-003,現代（官方網站版；reference edition 由 Study 03 comparison 建立）,https://www.matsu.org.tw/?act=menuinfo&ml_id=20240116002&cmd=list （北港官方籤詩列表）；attestation: att-bg-003,PROBABLE,沿用 corpus package authenticity（58 PROBABLE / 2 VERIFIED）；historical baseline 維持 0/60（古本文字未取得，不因身分證升級）
媽祖（北港朝天宮，living-tradition mapping）,liushijiazi,4,甲午,風恬浪靜可行舟；恰是中秋月一輪；凡事不須多憂慮；福祿自有慶家門,北港朝天宮官方六十甲子籤（modern reference edition）,ref-lsjz-004,現代（官方網站版；reference edition 由 Study 03 comparison 建立）,https://www.matsu.org.tw/?act=menuinfo&ml_id=20240116002&cmd=list （北港官方籤詩列表）；attestation: att-bg-004,PROBABLE,沿用 corpus package authenticity（58 PROBABLE / 2 VERIFIED）；historical baseline 維持 0/60（古本文字未取得，不因身分證升級）
媽祖（北港朝天宮，living-tradition mapping）,liushijiazi,5,甲申,只恐前途命有變；勸君作急可宜先；且守長江無大事；命逢太白守身邊,北港朝天宮官方六十甲子籤（modern reference edition）,ref-lsjz-005,現代（官方網站版；reference edition 由 Study 03 comparison 建立）,https://www.matsu.org.tw/?act=menuinfo&ml_id=20240116002&cmd=list （北港官方籤詩列表）；attestation: att-bg-005,PROBABLE,沿用 corpus package authenticity（58 PROBABLE / 2 VERIFIED）；historical baseline 維持 0/60（古本文字未取得，不因身分證升級）
媽祖（北港朝天宮，living-tradition mapping）,liushijiazi,6,甲戍,風雲致雨落洋洋；天災時氣必有傷；命內此事難和合；更逢一足出外鄉,北港朝天宮官方六十甲子籤（modern reference edition）,ref-lsjz-006,現代（官方網站版；reference edition 由 Study 03 comparison 建立）,https://www.matsu.org.tw/?act=menuinfo&ml_id=20240116002&cmd=list （北港官方籤詩列表）；attestation: att-bg-006,PROBABLE,沿用 corpus package authenticity（58 PROBABLE / 2 VERIFIED）；historical baseline 維持 0/60（古本文字未取得，不因身分證升級）
媽祖（北港朝天宮，living-tradition mapping）,liushijiazi,7,乙丑,雲開月出見分明；不須進退問前途；婚姻皆由天註定；和合清吉萬事成,北港朝天宮官方六十甲子籤（modern reference edition）,ref-lsjz-007,現代（官方網站版；reference edition 由 Study 03 comparison 建立）,https://www.matsu.org.tw/?act=menuinfo&ml_id=20240116002&cmd=list （北港官方籤詩列表）；attestation: att-bg-007,PROBABLE,沿用 corpus package authenticity（58 PROBABLE / 2 VERIFIED）；historical baseline 維持 0/60（古本文字未取得，不因身分證升級）
媽祖（北港朝天宮，living-tradition mapping）,liushijiazi,8,乙卯,禾稻看看結成完；此事必定兩相全；回到家中寬心坐；妻兒鼓舞樂團圓,北港朝天宮官方六十甲子籤（modern reference edition）,ref-lsjz-008,現代（官方網站版；reference edition 由 Study 03 comparison 建立）,https://www.matsu.org.tw/?act=menuinfo&ml_id=20240116002&cmd=list （北港官方籤詩列表）；attestation: att-bg-008,PROBABLE,沿用 corpus package authenticity（58 PROBABLE / 2 VERIFIED）；historical baseline 維持 0/60（古本文字未取得，不因身分證升級）
媽祖（北港朝天宮，living-tradition mapping）,liushijiazi,9,乙巳,龍虎相隨在深山；君爾何須背後看；不知此去相愛悞；他日與我卻無干,北港朝天宮官方六十甲子籤（modern reference edition）,ref-lsjz-009,現代（官方網站版；reference edition 由 Study 03 comparison 建立）,https://www.matsu.org.tw/?act=menuinfo&ml_id=20240116002&cmd=list （北港官方籤詩列表）；attestation: att-bg-009,PROBABLE,沿用 corpus package authenticity（58 PROBABLE / 2 VERIFIED）；historical baseline 維持 0/60（古本文字未取得，不因身分證升級）
媽祖（北港朝天宮，living-tradition mapping）,liushijiazi,10,乙未,右上角籤首資料；花開結子一半枯；可惜今年爾虛度；漸漸日落西山去,北港朝天宮官方六十甲子籤（modern reference edition）,ref-lsjz-010,現代（官方網站版；reference edition 由 Study 03 comparison 建立）,https://www.matsu.org.tw/?act=menuinfo&ml_id=20240116002&cmd=list （北港官方籤詩列表）；attestation: att-bg-010,PROBABLE,沿用 corpus package authenticity（58 PROBABLE / 2 VERIFIED）；historical baseline 維持 0/60（古本文字未取得，不因身分證升級）
